rank,country,density,densityMi,pop2021,area
1,Macau,21946.4667,56841.3487,658.394,30
2,Monaco,19755.5,51166.745,39.511,2
28,Burundi,440.3044,1140.3884,12255.433,27834
1,Macau,21946.4667,56841.3487,658.394,30
2,Monaco,19755.5,51166.745,39.511,2
3,Singapore,8305.1915,21510.4461,5896.686,710
4,Hong Kong,6841.3134,17719.0017,7552.81,1104
5,Gibraltar,5616.3333,14546.3033,33.698,6
6,Bahrain,2285.3542,5919.0675,1748.296,765
7,Maldives,1812.0567,4693.2268,543.617,300
7,Maldives,1812.0567,4693.2268,543.617,300
8,Malta,1401.2152,3629.1473,442.784,316
9,Sint Maarten,1276.8235,3306.9729,43.412,34
10,Bermuda,1149.8148,2978.0204,62.09,54
11,Bangladesh,1126.9465,2918.7915,166303.498,147570
12,Palestine,839.6701,2174.7455,5222.748,6220
13,Vatican City,800,2072,0.8,1
14,Mayotte,747.3663,1935.6787,279.515,374
15,Saint Martin,740.2642,1917.2842,39.234,53
16,Barbados,669.0953,1732.957,287.711,430
17,Taiwan,659.1056,1707.0836,23855.01,36193
18,Lebanon,647.6412,1677.3908,6769.146,10452
19,Mauritius,624.2319,1616.7605,1273.433,2040
20,Aruba,595.5778,1542.5464,107.204,180
21,San Marino,557.6557,1444.3284,34.017,61
22,Nauru,517.9048,1341.3733,10.876,21
23,South Korea,511.9767,1326.0197,51305.186,100210
24,Rwanda,504.082,1305.5725,13276.513,26338
25,Comoros,477.1488,1235.8153,888.451,1862
26,Saint Barthelemy,471.7619,1221.8633,9.907,21
27,Tuvalu,458.8846,1188.5112,11.931,26
28,Burundi,440.3044,1140.3884,12255.433,27834
29,India,423.8391,1097.7432,1393409.038,3287590
30,Israel,423.1957,1096.0768,8789.774,20770
31,Haiti,415.9166,1077.2239,11541.685,27750
32,Netherlands,410.3488,1062.8035,17173.099,41850
33,Belgium,381.0379,986.8882,11632.326,30528
15,Saint Martin,740.2642,1917.2842,39.234,53
16,Barbados,669.0953,1732.957,287.711,430
17,Taiwan,659.1056,1707.0836,23855.01,36193
18,Lebanon,647.6412,1677.3908,6769.146,10452
19,Mauritius,624.2319,1616.7605,1273.433,2040
34,Curacao,371.1667,961.3217,164.798,444
35,Reunion,359.0944,930.0545,901.686,2511
36,Japan,333.5295,863.8414,126050.804,377930
37,Martinique,332.2207,860.4517,374.745,1128
38,Marshall Islands,329.337,852.9829,59.61,181
39,Grenada,328.5494,850.943,113.021,344
40,Sri Lanka,327.6529,848.6211,21497.31,65610
41,Philippines,324.3638,840.1022,111046.913,342353
42,Puerto Rico,318.8563,825.8377,2828.255,8870
43,Guam,309.98,802.8481,170.179,549
44,El Salvador,309.7999,802.3817,6518.499,21041
45,United States Virgin Islands,300.3631,777.9405,104.226,347
46,Saint Lucia,299.3506,775.3182,184.4,616
47,Vietnam,296.3927,767.6572,98168.833,331212
48,Saint Vincent and the Grenadines,286.0231,740.7999,111.263,389
49,United Kingdom,280.8033,727.2805,68207.116,242900
50,American Samoa,276.8844,717.1307,55.1,199
51,Trinidad and Tobago,273.5624,708.5266,1403.375,5130
52,Jamaica,270.5362,700.6887,2973.463,10991
53,Pakistan,255.3542,661.3674,225199.937,881912
54,Qatar,252.937,655.1068,2930.528,11586
55,Cayman Islands,251.8826,652.3759,66.497,264
56,Guadeloupe,245.7125,636.3955,400.02,1628
57,Luxembourg,245.4811,635.7959,634.814,2586
58,Kuwait,242.9313,629.1921,4328.55,17818
59,Liechtenstein,239.0625,619.1719,38.25,160
60,Germany,234.9403,608.4954,83900.473,357114
61,Gambia,232.664,602.5996,2486.945,10689
62,Sao Tome and Principe,231.7095,600.1277,223.368,964
63,Nigeria,228.8461,592.7114,211400.708,923768
43,Guam,309.98,802.8481,170.179,549
44,El Salvador,309.7999,802.3817,6518.499,21041
64,Dominican Republic,225.056,582.8952,10953.703,48671
65,Antigua and Barbuda,223.3733,578.5369,98.731,442
66,Seychelles,218.823,566.7516,98.908,452
67,North Korea,214.7625,556.2348,25887.041,120538
68,Switzerland,211.1107,546.7767,8715.494,41284
69,Saint Kitts and Nevis,205.1494,531.337,53.544,261
70,Nepal,201.6219,522.2008,29674.92,147181
71,British Virgin Islands,201.4636,521.7907,30.421,151
72,Italy,200.3328,518.8619,60367.477,301336
73,Uganda,195.0881,505.2782,47123.531,241550
74,Guatemala,167.6006,434.0855,18249.86,108889
75,Anguilla,166.1209,430.2531,15.117,91
76,Malawi,165.8256,429.4884,19647.684,118484
77,Micronesia,165.604,428.9143,116.254,702
78,Andorra,165.2885,428.0971,77.355,468
79,Kiribati,149.6819,387.6761,121.392,811
80,Isle of Man,149.3182,386.7341,85.41,572
81,Togo,149.3044,386.6984,8478.25,56785
82,China,148.7815,385.3441,1444216.107,9706961
83,Indonesia,145.1046,375.821,276361.783,1904569
84,Tonga,142.9183,370.1585,106.76,747
85,Cape Verde,139.3251,360.8519,561.898,4033
86,Thailand,136.3245,353.0806,69950.85,513120
87,Czech Republic,135.9862,352.2044,10724.555,78865
88,Denmark,134.8981,349.386,5813.298,43094
89,Ghana,133.0304,344.5486,31732.129,238533
90,Cyprus,131.4003,340.3267,1215.584,9251
91,Northern Mariana Islands,124.8211,323.2867,57.917,464
92,Poland,120.8812,313.0822,37797.005,312679
93,United Arab Emirates,119.5106,309.5325,9991.089,83600
94,Moldova,118.892,307.9303,4024.019,33846
95,France,118.5912,307.1512,65426.179,551695
96,Azerbaijan,118.0524,305.7558,10223.342,86600
97,Jordan,114.9406,297.6961,10269.021,89342
98,Tokelau,114.4167,296.3392,1.373,12
99,Sierra Leone,113.484,293.9236,8141.343,71740
100,Slovakia,111.3592,288.4203,5460.721,49037
101,Benin,110.556,286.3401,12451.04,112622
102,Portugal,110.4129,285.9694,10167.925,92090
103,Turkey,108.5335,281.1018,85042.738,783562
104,Austria,107.8212,279.2569,9043.07,83871
105,Ethiopia,106.7429,276.4642,117876.227,1104300
106,Egypt,104.0035,269.3691,104258.327,1002450
107,Hungary,103.562,268.2255,9634.164,93028
108,Cuba,102.995,266.7571,11317.505,109884
109,Slovenia,102.5366,265.5697,2078.724,20273
110,Costa Rica,100.5685,260.4725,5139.052,51100
111,Albania,99.9351,258.8318,2872.933,28748
112,Armenia,99.7925,258.4625,2968.127,29743
113,Malaysia,99.0807,256.619,32776.194,330803
114,Syria,98.6916,255.6111,18275.702,185180
115,Serbia,98.432,254.9389,8697.55,88361
116,Dominica,96.0945,248.8849,72.167,751
117,Kenya,94.743,245.3843,54985.698,580367
118,Iraq,93.9488,243.3274,41179.35,438317
119,Cambodia,93.6086,242.4463,16946.438,181035
120,Spain,92.3833,239.2728,46745.216,505992
121,Timor-Leste,90.3505,234.0077,1343.873,14874
122,Honduras,89.4552,231.6889,10062.991,112492
123,Senegal,87.4142,226.4028,17196.301,196722
124,Ivory Coast,83.8968,217.2928,27053.629,322463
125,Morocco,83.6296,216.6006,37344.795,446550
126,Myanmar,81.0047,209.8022,54806.012,676578
127,North Macedonia,80.9963,209.7804,2082.658,25713
128,Romania,80.237,207.8138,19127.774,238391
129,Burkina Faso,78.7535,203.9715,21497.096,272967
130,Greece,78.5722,203.502,10370.744,131990
131,Wallis and Futuna,78.1268,202.3483,11.094,142
132,Brunei,76.5884,198.3639,441.532,5765
133,Uzbekistan,75.8511,196.4542,33935.763,447400
134,Cook Islands,74.428,192.7684,17.565,236
135,Tunisia,72.9525,188.9471,11935.766,163610
136,Croatia,72.1216,186.795,4081.651,56594
137,Ukraine,72.0246,186.5436,43466.819,603500
138,Lesotho,71.1276,184.2205,2159.079,30355
139,Ireland,70.9078,183.6513,4982.907,70273
140,Samoa,70.4254,182.4018,200.149,2842
141,Tajikistan,68.1316,176.4608,9749.627,143100
142,French Polynesia,67.8018,175.6066,282.53,4167
143,Eswatini,67.5168,174.8686,1172.362,17364
144,Mexico,66.3123,171.7488,130262.216,1964375
145,Tanzania,65.0717,168.5358,61498.437,945087
146,Ecuador,64.6164,167.3565,17888.475,276841
147,Bosnia and Herzegovina,63.7284,165.0565,3263.466,51209
148,Bulgaria,62.1999,161.0977,6896.663,110879
149,Afghanistan,61.0757,158.1862,39835.428,652230
18,Lebanon,647.6412,1677.3908,6769.146,10452
19,Mauritius,624.2319,1616.7605,1273.433,2040
34,Curacao,371.1667,961.3217,164.798,444
35,Reunion,359.0944,930.0545,901.686,2511
150,Panama,58.098,150.4739,4381.579,75417
151,Yemen,57.7509,149.5749,30490.64,527968
152,Cameroon,57.261,148.3059,27224.265,475442
153,Georgia,57.0985,147.8851,3979.765,69700
154,Guinea-Bissau,55.7922,144.5019,2015.494,36125
155,Guinea,54.8988,142.1878,13497.244,245857
156,Equatorial Guinea,51.6879,133.8715,1449.896,28051
157,Iran,51.589,133.6156,85028.759,1648195
158,Nicaragua,51.4093,133.1501,6702.385,130373
159,Fiji,49.4147,127.9842,902.906,18272
160,South Africa,49.173,127.3579,60041.994,1221037
161,Montserrat,48.7941,126.3768,4.977,102
162,Madagascar,48.4248,125.4202,28427.328,587041
163,Liberia,46.5139,120.4709,5180.203,111369
164,Belarus,45.4858,117.8083,9442.862,207600
165,Montenegro,45.4715,117.7713,628.053,13812
166,Colombia,44.9012,116.2941,51265.844,1141748
167,Djibouti,43.1977,111.8821,1002.187,23200
168,Turks and Caicos Islands,41.3829,107.1817,39.231,948
169,Lithuania,41.1924,106.6882,2689.862,65300
170,Mozambique,40.1241,103.9213,32163.047,801590
171,Palau,39.5839,102.5222,18.169,459
172,DR Congo,39.396,102.0356,92377.993,2344858
173,Zimbabwe,38.6229,100.0333,15092.171,390757
174,United States,35.52,91.9968,332915.073,9372610
175,Faroe Islands,35.2111,91.1966,49.049,1393
176,Kyrgyzstan,33.1499,85.8582,6628.356,199951
177,Venezuela,31.3221,81.1242,28704.954,916445
178,Laos,31.1628,80.7117,7379.358,236800
179,Eritrea,30.6247,79.318,3601.467,117600
180,Estonia,29.3007,75.8889,1325.185,45227
181,Latvia,28.9184,74.8986,1866.942,64559
182,Bahamas,28.4668,73.7291,396.913,13943
183,Angola,27.2187,70.4966,33933.61,1246700
184,Peru,25.9563,67.2267,33359.418,1285216
185,Vanuatu,25.799,66.8194,314.464,12189
186,Somalia,25.6556,66.4481,16359.504,637657
187,Chile,25.4097,65.8112,19212.361,756102
188,Zambia,25.14,65.1125,18920.651,752612
189,Brazil,25.1291,65.0843,213993.437,8515767
190,Solomon Islands,24.3631,63.1004,703.996,28896
191,Saint Pierre and Miquelon,23.8264,61.7105,5.766,242
192,Sudan,23.8111,61.6707,44909.353,1886068
193,Sweden,22.5634,58.4391,10160.169,450295
194,Bhutan,20.313,52.6107,779.898,38394
195,Niger,19.8349,51.3724,25130.817,1267000
196,Papua New Guinea,19.7023,51.0289,9119.01,462840
197,Uruguay,19.2514,49.861,3485.151,181034
198,Algeria,18.7328,48.5179,44616.624,2381741
199,South Sudan,18.3646,47.5644,11381.378,619745
200,New Zealand,17.9713,46.5457,4860.643,270467
201,Paraguay,17.7495,45.9712,7219.638,406752
202,Belize,17.631,45.6643,404.914,22966
203,Norway,16.8795,43.718,5465.63,323802
204,Oman,16.8768,43.711,5223.375,309500
205,Mali,16.8165,43.5548,20855.735,1240192
206,Republic of the Congo,16.541,42.8411,5657.013,342000
207,Saudi Arabia,16.4399,42.5793,35340.683,2149690
208,Argentina,16.4026,42.4828,45605.826,2780400
209,Finland,16.3947,42.4623,5548.36,338424
210,New Caledonia,15.5164,40.1876,288.218,18575
211,Chad,13.1737,34.1198,16914.985,1284000
212,Turkmenistan,12.5342,32.4635,6117.924,488100
213,Bolivia,10.7711,27.8972,11832.94,1098581
214,Russia,8.5337,22.1024,145912.025,17098242
215,Gabon,8.5136,22.0503,2278.825,267668
216,Central African Republic,7.8974,20.4544,4919.981,622984
217,Kazakhstan,6.9709,18.0546,18994.962,2724900
218,Niue,6.2269,16.1277,1.619,260
219,Mauritania,4.6329,11.9992,4775.119,1030700
220,Botswana,4.119,10.6681,2397.241,582000
221,Libya,3.9547,10.2428,6958.532,1759540
222,Canada,3.8126,9.8747,38067.903,9984670
223,Guyana,3.6765,9.522,790.326,214969
224,French Guiana,3.6685,9.5015,306.448,83534
225,Suriname,3.6125,9.3564,591.8,163820
226,Australia,3.3526,8.6832,25788.215,7692024
227,Iceland,3.3335,8.6338,343.353,103000
228,Namibia,3.1338,8.1166,2587.344,825615
229,Western Sahara,2.3003,5.9577,611.875,266000
230,Mongolia,2.1286,5.5129,3329.289,1564110
231,Falkland Islands,0.2902,0.7517,3.533,12173
232,Greenland,0.0263,0.068,56.877,2166086
